Name,ID,LPC,CPC,NDP,GRN,PPC,BQC,OTH,VOTES
Abbotsford-South Langley,seat59001,18963,24126,2104,577,459,0,9747,55976
Burnaby Central,seat59002,21745,19838,9353,0,506,0,0,51442
Burnaby North-Seymour,seat59003,37821,21749,4116,0,368,0,0,64054
Cariboo-Prince George,seat59004,19206,38039,4056,1192,436,0,393,63322
Chilliwack-Hope,seat59005,23256,36027,4779,1083,482,0,129,65756
Cloverdale-Langley City,seat59006,24838,25607,2350,498,295,0,0,53588
Columbia-Kootenay-Southern Rockies,seat59007,20007,35830,12772,1056,503,0,850,71018
Coquitlam-Port Coquitlam,seat59008,27299,24778,4263,519,0,0,790,57649
Courtenay-Alberni,seat59009,18209,27602,31612,1752,427,0,264,79866
Cowichan-Malahat-Langford,seat59010,21447,28375,24870,1499,0,0,0,76191
Delta,seat59011,32305,27157,3384,0,390,0,0,63236
Esquimalt-Saanich-Sooke,seat59012,36123,21014,13631,1952,0,0,445,73165
Fleetwood-Port Kells,seat59013,23239,21439,2885,460,499,0,0,48522
Kamloops-Shuswap-Central Rockies,seat59014,26295,35238,3660,1702,601,0,0,67496
Kamloops-Thompson-Nicola,seat59015,24956,32007,3684,933,516,0,0,62096
Kelowna,seat59016,57404,55245,4212,1157,0,0,0,118018
Langley Township-Fraser Heights,seat59017,28034,33595,2611,491,629,0,347,65707
Mission-Matsqui-Abbotsford,seat59018,21714,33650,2728,820,501,0,0,59413
Nanaimo-Ladysmith,seat59019,20693,26081,13591,13486,294,0,0,74145
New Westminster-Burnaby-Maillardville,seat59020,19547,17427,17624,741,0,0,381,55720
North Island-Powell River,seat59021,21045,31356,26357,1558,341,0,156,80813
North Vancouver-Capilano,seat59022,37909,21339,2684,1076,256,0,102,63366
Okanagan Lake West-South Kelowna,seat59023,28779,33219,2195,660,306,0,93,65252
Pitt Meadows-Maple Ridge,seat59024,30130,31556,4097,0,372,0,456,66611
Port Moody-Coquitlam,seat59025,27123,25127,9360,519,0,0,117,62246
